date,min_temp,max_temp,mean_temp,relative_humidity,daytime_precipitation,nighttime_precipitation,total_precipitation,sunshine_hours
12-11-2018,19.6,27.4,22.8,82.7,0,0,0,1.6
13-11-2018,18.4,30,22,80.7,14,0.6,14.6,4.4
14-11-2018,19.2,28.6,22,81.7,12.2,0,12.2,4
15-11-2018,18.6,29.2,23.5,77.7,0,0,0,8.8
16-11-2018,19,30.2,23.2,79.3,0,0,0,6.2
17-11-2018,18.6,28.6,22.8,80.3,6.4,0,6.4,6.2
18-11-2018,18.5,30,21.5,81,46.7,5.6,52.3,5.3
19-11-2018,18.6,26.2,22.2,85,0,2.2,2.2,1.6
20-11-2018,19.4,28.6,23.1,79,0,9.1,9.1,6.7
21-11-2018,19.8,26.2,22.2,82,0.5,0,0.5,2.3
22-11-2018,17.2,29.2,23.1,76.3,0,0,0,8.4
23-11-2018,19,29.6,22.9,76,0,0.8,0.8,5.5
24-11-2018,19.2,30,23.9,76.3,0,20.5,20.5,8.7
25-11-2018,19.8,28.2,23.5,82.3,0,3.1,3.1,3.3
26-11-2018,19.8,27,21.9,85.7,10.3,2.3,12.6,2.2
27-11-2018,18.4,23.8,21.2,88.3,0.5,0,0.5,0.7
28-11-2018,18.6,27.6,21.8,81,0,0,0,2.9
29-11-2018,16.4,29.6,23,77.3,0,24.2,24.2,6.8
30-11-2018,19.2,28.2,22.3,82,0,15.5,15.5,3.2
01-12-2018,18.6,27.8,21.8,80.7,0,0.1,0.1,4.2
02-12-2018,18.2,27.6,21.7,82.7,0,0,0,3.1
03-12-2018,19.4,27.8,22.5,80,0,1.4,1.4,6.1
04-12-2018,19.2,28,22.4,82,0,3.7,3.7,4.3
05-12-2018,18.6,26.2,21.7,84,0,23,23,2.2
06-12-2018,18.2,27.2,21.5,80.3,2,18.7,20.7,3.4
07-12-2018,18.6,28.4,23.1,79.7,0,1.4,1.4,7.5
08-12-2018,18.4,28.8,23.5,77,0,0,0,5.5
09-12-2018,18.6,29.2,23.2,76,0,0,0,8.1
10-12-2018,16.2,29.4,22.5,78,0,0,0,7.2
11-12-2018,18,28.2,23,79.3,0,0,0,2.9
12-12-2018,19.2,28.6,23.4,78.7,0,0.4,0.4,3.6
13-12-2018,19,28,23.1,78,0,6.2,6.2,3.6
14-12-2018,17.6,27.6,22.2,80.3,0,0,0,4.6
15-12-2018,17,28.6,21.9,81,0,0,0,6.4
16-12-2018,16.8,30,23.1,76,0,0,0,9.3
17-12-2018,19,29,23,77.3,0,0,0,4.2
18-12-2018,17.6,29.6,22.7,77.3,0,0,0,8
19-12-2018,18.4,28.6,22.7,77.3,0,0,0,3.2
20-12-2018,17.5,29.6,23.7,75.3,0,0,0,6.1
21-12-2018,17.6,29.2,23.2,76,0,0,0,3.3
22-12-2018,18.4,28,22.6,79.7,0,0,0,5.3
23-12-2018,17.5,29.8,23.8,72.3,0,0,0,7.5
24-12-2018,17,28.2,22.2,76.7,0,0,0,2.1
25-12-2018,16.6,29.8,23.1,75.3,0,0,0,5.8
26-12-2018,17.4,30.6,23.8,74.3,0,0,0,9.1
27-12-2018,18.4,29.6,23.7,74.3,0,0,0,6.3
28-12-2018,17.6,27.8,23.2,75,0,0,0,1.7
29-12-2018,16,31,23.3,73.7,0,0,0,7.8
30-12-2018,17.5,29.6,23.5,73.3,0,0,0,6.1
31-12-2018,16.8,30.6,23.6,72.7,0,0,0,8
